epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,34555.3,0.69811,1.15869,0.80768,0.98653,0.5731,0.78749,0.65701,0.55183,0.57876,0.79379,0.66618,0.53272,0.6403,1.08349,0.67553,0.94073,0.00011359,0.00011359,0.00011359
30,35398,0.69125,1.15645,0.78711,0.97972,0.57762,0.77117,0.66503,0.55636,0.58915,0.78006,0.67771,0.53799,0.6325,1.06813,0.67142,0.93583,0.000104433,0.000104433,0.000104433
31,36218,0.64442,1.03977,0.71697,0.97371,0.55113,0.75398,0.65167,0.54777,0.56179,0.76146,0.66253,0.52781,0.63066,1.0326,0.69611,0.93554,9.5275e-05,9.5275e-05,9.5275e-05
32,37043.4,0.62749,1.00573,0.68463,0.95606,0.5428,0.77526,0.63009,0.53121,0.5441,0.78979,0.64133,0.51483,0.62612,1.04971,0.70133,0.9293,8.61175e-05,8.61175e-05,8.61175e-05
33,37865.5,0.61425,0.98459,0.66422,0.94781,0.55538,0.76875,0.65281,0.55017,0.55479,0.7755,0.66326,0.53072,0.62199,1.06876,0.68561,0.92792,7.696e-05,7.696e-05,7.696e-05
34,38686.8,0.6075,0.97655,0.64859,0.94486,0.57278,0.75955,0.68482,0.57764,0.57064,0.80316,0.69695,0.55942,0.61674,1.02448,0.64107,0.92611,6.78025e-05,6.78025e-05,6.78025e-05
35,39518.7,0.6012,0.96473,0.6397,0.94322,0.56975,0.74489,0.66882,0.56561,0.57886,0.75388,0.68171,0.54658,0.61611,1.04238,0.64531,0.92507,5.8645e-05,5.8645e-05,5.8645e-05
36,40360.1,0.59501,0.9555,0.63027,0.94169,0.57173,0.81036,0.67215,0.56812,0.57918,0.81885,0.68606,0.5525,0.61211,1.01215,0.62583,0.92371,4.94875e-05,4.94875e-05,4.94875e-05
37,41196.8,0.58864,0.94912,0.6202,0.93627,0.55233,0.79946,0.65849,0.55968,0.5643,0.79362,0.67095,0.53895,0.60437,1.00058,0.65454,0.92061,4.033e-05,4.033e-05,4.033e-05
38,42037.3,0.58662,0.94888,0.61662,0.93892,0.56861,0.77537,0.66685,0.56637,0.57503,0.78314,0.67896,0.54684,0.60599,1.02191,0.63587,0.91933,3.11725e-05,3.11725e-05,3.11725e-05
39,42871.4,0.58029,0.93823,0.60572,0.92775,0.57804,0.81393,0.67873,0.57538,0.58476,0.82073,0.69065,0.55708,0.60538,1.02222,0.62306,0.91919,2.2015e-05,2.2015e-05,2.2015e-05
40,43704.3,0.57772,0.93508,0.59906,0.93247,0.58407,0.79336,0.67206,0.5695,0.59155,0.80341,0.68424,0.55076,0.60542,1.01265,0.62998,0.91842,1.28575e-05,1.28575e-05,1.28575e-05
